,p,a
69,Licenču un norēķinu speciālists/-e,2350
70,Klientu piesaistes speciālists(-e) (Eiropas tirgus),3200
71,Java Developer,3575
72,Java izstrādātājs/-a,3575
73,Solution and Integration Engineer,6250
74,IT Security Operations Manager,4750
75,Enterprise Monitoring Engineer,5000
76,Sabiedriskās ēdināšanas tehnologs/-ģe,2000
77,Mārketinga speciālists/-e,1950
78,Vecākais/-ā tehnologs/-ģe,1450
79,Pharmacist,2100
80,Farmaceits/-e,2100
81,IT System Engineer (Azure Analytics / Power Platform),4500
82,IT sistēmu inženieris/-e (Azure Analytics / Power Platform),4500
83,Lielo klientu piesaistes speciālists(-e) (Eiropas tirgus),4300
84,Pārdošanas asistents/-e un Jaunākais/-ā biznesa analītiķis/-e,1650
85,Kategoriju vadītājs/-a E-komercijā,2250
86,Latvijas dzelzceļa vēstures muzeja vadītājs/-a,2650
87,Billing Specialist,1450
88,Norēķinu speciālists/-e,1450
89,Projektu vadītājs/-a,2500
90,Pārdošanas un administratīvais/-ā asistents/-e,1450
91,Lietotāju atbalsta speciālists/-e,1450
92,Loģistikas menedžera palīgs/-dze,1200
93,Loģistikas menedžeris/-e /Transporta koordinators/-e,1900
94,Darbu vadītājs/-a,2650
95,Pārdošanas daļas vadītājs/-a,3100
96,Konsultējošs/-a pārdošanas speciālists/-e (Wolf un Flexit zīmoliem),2150
97,Vecākā eksperta amats,1600
98,AML specialist,1700
99,Account Manager,2150
100,Software Engineering Generative AI Empowerment Lead,4000
101,Software Engineering Generative AI Solutions Architect,4000
102,Reiseleiterin,600
103,Norwegian Speaking E-mail and Chat Customer Service Advisor,1525
104,Customer Advisor,1425
105,Data Analyst and Performance Manager,2250
106,"Junior Risk Controller in Rogue Trading Controls focusing on analysis, patter recognition| SEB, Riga",1900
107,"Finance Business Analyst in Finance & Risk Tribe | SEB, Riga",3200
108,Test Automation Engineer,4550
109,Ofisa menedžeris/-e,1100
110,Project Service Delivery Coordinator,2455
111,Business Analyst,2500
112,Security Shift Leader,2100
113,Projektu īstenošanas vadītājs,1800
114,Java Software Developer in API Gateway team,3250
115,Data Governance Lead,2400
116,Personal Assistant to Management Team,1300
117,Office & Payroll Administrator,1450
118,Compensation and Benefits Manager,2900
119,"Master Data Specialist, Tietoevry Latvia",1400
120,Java Software Developer for Swisscom,4150
121,Sankciju juridiskās nodaļas jurists/-e,2150
122,Waiter / Официант на круизный лайнер / Viesmīlis,2477
123,Chef de partie on cruise ships,2998
124,Commis de cuisine/chef's assistant,2477
125,IT risinājumu pārdošanas speciālists/-e,2100
126,Stateroom stewardess on river cruise ships,2000
127,Noņēmējs-kontrolieris,200
128,Utility on river cruises/kitchen staff,2477
129,QA Engineer,3290
130,Apdares meistari / Skārdnieki (kuģu būve/kuģu remonts),4900
131,Financial Analyst,2800
132,Pārdošanas projektu vadītājs/-a,2300
133,Būvnieks montāžas darbiem,1700
134,IT biznesa programmatūras atbalsta daļas vadītājs/-a,3500
135,Jaunākais/-ā IT sistēmas administrators/-e,1900
136,Facebook Ads Specialist,2115
137,Ārvalstu studentu apkalpošanas speciālists/-e,1409
138,Galvenā grāmatveža assistents/-e,1725
139,Pārdošanas pārstāvis,2400
140,Mehāniķis/-e,1800
141,Travel Consultant,1300
142,Reservation specialist,1350
143,Algu grāmatvedis/-e,2000
144,IT sistēmu administrators/-e,2000
145,Digital marketing Lead,4850
146,Jurists/-e Iepirkumu nodaļā,2100
147,Junior Accountant,1050
148,Vecākais programmētājs,2700
149,Reklāmas un mārketinga speciālists/-e,1850
150,Tirgus direktors/-e,3900
151,Medicīnas māsa,1700
152,Uzkopšanas darbu vadītāju asistents/-e Jūrmalā,1200
153,Informācijas tehnoloģiju attīstības daļas vadītājs/-a,2865
154,Senior Vue.js Developer,3850
155,Pārdošanas pārstāvis,1750
156,"Business Analyst, Tietoevry Banking",3100
157,Ražošanas iekārtu mehāniķis,1900
158,IT drošības speciālists/-e,3500
159,Klientu sadarbības vadītājs/-a,1000
160,Galvenais grāmatvedis/-e,2500
161,Interešu izglītības pedagogs (mūzikas pedagogs),1145
162,Iepirkuma speciālists/-e,1150
163,Rezerves daļu pārdevējs /-a Rīgā,2000
164,Personāla speciālists/-e,1462
165,C/C++ programmētājs/-a,2350
166,Middle level Java Developer,2650
167,Pārdošanas projektu vadītājs/-a,2235
168,Pakalpojumu nodaļas vadītājs/-a,2500
169,B2B Pārdošanas speciālists/-e,2750
170,Grāmatvedis/e,2100
171,"Mehāniķis - mehatroniķis (hidraulika, elektrība)",2500
172,Servisa meistars/e - pieņēmējs/a,2500
173,Mehāniķis - mehatroniķis,2250
174,Rūpniecības elektriķis (sākuma līmenis),2800
175,2. līmeņa IT atbalsta speciālists/-e,2250
176,Apsaimniekošanas uzņēmuma vadītāja asistents/-e,1700
177,Kvalitātes un procesu vadības speciālists/-e,2250
178,Eksporta pārdošanas projektu vadītājs/-a,3500
179,Java Developer,3500
180,Smart Card programmer / C-Family programmer,3000
181,Business Analyst,3600
182,Project manager,3600
183,Grāmatvedis/-e,1600
184,Jaunākais darba aizsardzības speciālists/-e,1000
185,Tāmētājs/-a,1700
186,Demand Planner Analyst,2050
187,Sterilizācijas vadītāja/-s,1800
188,Klientu konsultante/-s,1800
189,🚀 Pievienojies mūsu komandai kā Vecākais SEO Speciālists! 🚀,3000
190,SAP ABAP developer,3562
191,SAP Analytics Consultant,3562
192,SAP Data Services Developer,3562
193,SAP Commerce Back-end Developer,3562
194,Klientu menedžeris/-e,1350
195,Kontaktu centra speciālists/-e,1100
196,Biroja administrators,1000
197,Senior Site Reliability Engineer / DevOps,4500
198,Full-Stack developer,5500
199,Manual QA Engineer,3000
200,Vecākais/-ā konsultants/-e  Publiskā sektora konsultāciju komandā,2500
201,Projektu vadītāja asistents/-e,1300
202,Junior Lawyer,2100
203,Full Stack Engineer,3860
204,Vecākais tehnologs,1700
205,Informācijas sistēmu testētājs/-a,2000
206,Jaunākais/-ā transfertcenu speciālists/-e Nodokļu konsultāciju nodaļā,1400
207,Data Analyst,2200
208,Maiņas vadītājs ražošanas uzņēmumam,1650
209,Junior Data Analyst,1500
210,QA Engineer (Senior / Lead),3600
211,Solution Expert,3150
212,Būvniecības projektu vadītājs/-a,3000
213,Projektu vadītāja asistents/-e,1700
214,"Būvniecības projektu administrators/-e Madonā, Līvānos, Daugavpilī",1500
215,Tehniskās daļas speciālists,1550
216,Iepirkumu speciālists/-e,1600
217,LSM.lv redakcijas sporta redaktors,1600
218,Marketing Data Analyst/ Mārketinga datu analītiķis,1750
219,Maiņas vadītājs/-a,1850
220,Specialist Finance in Accounts Receivable and Collections team,1600
221,Daten analyst/ Datu analītiķis,3100
222,Specialist Finance with German language skills in Accounts Receivable Team,1900
223,Darījumu vadītāja asistents,1500
224,Конструктор / Konstruktors/-e,1400
225,"Team Lead, Engineering",4200
226,"Key Account Manager (for term 1,5 years) / Lielo klientu vadītājs/-a (uz laiku 1,5 gadi)",2400
227,Virtualizētas IT infrastruktūras speciālists/-e,3500
228,Intern in Fuel Supply Operations,720
229,Galvenais jurists/-e,1650
230,Tehniskā atbalsta daļas vadītājs,2545
231,Sr. Genesys Developer,2900
232,Customer Services Coordinator,1600
233,Klientu menedžeris/-e,3000
234,Datu ievades operators/-e,1600
235,Lead Frontend Area QA Engineer,4955
236,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
237,Nodokļu nomaksas veicināšanas pārvaldes Algas nodokļu daļas galvenais nodokļu inspektors,1559
238,Korporatīvo klientu projektu vadītājs/-a,1967
239,Head of Life Insurance Division,7250
240,Farmaceits/-e / Farmaceita asistents/-e (Valmierā un Raunā),1550
241,Korporatīvo klientu automašīnu tirdzniecības vadītājs/-a,3000
242,Internal Auditor,2250
243,Farmaceits/-e / farmaceita asistents/-e Tukumā,1550
244,Risk Analyst,2325
245,Transaction Monitoring Analyst,1950
246,Game Show Host,480
247,TVNET nacionālo ziņu žurnālists/-e,1250
248,Sales Manager,2750
249,Informācijas tehnoloģiju drošības analītiķis/-e,2275
250,"Pārdevējs/-a Circle K Jugla (Juglas ielā 2C, Rīga)",240
251,Pārdevējs/-a Circle K Pērnavas (Pērnavas iela 7),240
252,Latvian and Russian Speaking E-mail and Chat Customer Service Agent,1300
253,C kategorijas autovadītājs/-a Kuldīgā,1753
254,"HR System Specialist, Tietoevry Banking",2500
255,grāmatveža palīgs - lietvedis,1750
256,"Senior Software Engineer, Tietoevry Banking",3700
257,Mehāniķis,1735
258,Internship program 2024,700
259,Operations Control Centre Officer,1850
260,Network Planning Coordinator,2100
261,Bistro un Zviedrijas pārtikas veikala darbinieks/-ce,240
262,Pavārs,160
263,Workforce Specialist (m/f/d),2100
264,Vairumtirdzniecības menedžeris,1300
265,Vadītājs/-a Degvielas uzpildes stacijā Virši Satekle,1500
266,Pacientu reģistrators/-e,1225
267,Pārtikas kvalitātes speciālists/-e,280
268,Operatīvais vadītājs/-a Degvielas uzpildes stacijās,1500
269,Volkswagen and Audi Customer Experience Manager,3000
270,Personāla attīstības speciālists/-e (uz laiku līdz 2 gadiem),1650
271,Training Coordinator,1650
272,Ražošanas iekārtu un līniju operatori/es tipogrāfijā (apmācība nodrošināta),1100
273,Pārdošanas speciālists/-e (apdares materiālu segmentā),1500
274,Creative Strategist,2830
275,Biroja vadītājs-/a,1400
276,CNC iekārtu operators/-e,1700
277,Full stack (C#/.Net) Software Developer,3850
278,LAWYER (F/M/D) | IGNITIS RENEWABLES,2495
279,Python programmētājs/a,3500
280,Ražošanas meistara palīgs (teamleader),1850
281,Ražošanas maiņas vadītājs Ādažos,1600
282,Vēja ģeneratoru remontu un apkopes speciālists/-e,4500
283,Maiņas vadītājs/-a,200
284,Vecākais/-ā grāmatvedis/-e,1900
285,Veikalu krājumu plānošanas speciālists/-e (uz noteiktu laiku),1500
286,"Rīgas pilsētas tiesas  (Mazā Nometņu iela 39, Rīga)  tiesas sēžu sekretārs  (uz noteiktu laiku)",1118
287,"Junior Risk Controller in Rogue Trading Controls focusing on analysis, patter recognition| SEB, Riga",1900
288,Kasieris (Rīgā),200
289,PPC Specialist - Online Casino,2750
290,Elektroietaišu/elektrotīklu projektētājs,2000
291,Administratīvā departamenta Lietvedis-Rēķinvedis,1650
292,"HSH Chemie Pārdošanas speciālists/-e (Pārtika, Farmācija un Lopbarība izejvielas)",2500
293,Pārdošanas projektu vadītājs,1900
294,Jurists/-e (FTPD TAPN),2375
295,Vecākais/-ā grāmatvedis/-e,1900
296,Pārdevējs (-a) DUS Ilgas,480
297,Personāla eksperts/-e attīstības jautājumos,1700
298,KURJERS darbam Vācijā,2630
299,Uzskaitvedis/-e,1300
300,Tirdzniecības pārstāvja/es amatu (RĪGA UN RĪGAS REĢIONĀ),1375
301,Senior AML/CTF Officer,4300
302,Automehāniķis/-e,2450
303,Klientu apkalpošanas operators,870
304,Foreman (Electromechanical projects),560
305,ISO kvalitātes vadītājs/-a,2100
306,Sistēmu vadības inženieris/-e,2200
307,Менеджер по продажам (Pārdošanas menedžeris/-e),1450
308,Kvalitātes nodrošināšanas speciālists/-e,2000
309,Ceļa būvniecības un inženiertīklu tāmētājs/-ja,1500
310,Executive Project Manager to CTO,4100
311,Būvdarbu vadītājs,2500
312,Projektu vadītājs,3000
313,Finanšu speciālists,1550
314,Klientu Apkalpošanas Speciālists Darbam No Mājām (Pusslodze),500
315,IT Nodaļas Vadītājs/-a,5250
316,UX Copywriter,2500
317,Administratīvo pārkāpumu lietu izskatīšanas nodaļas vecākais/-ā inspektors/-e,1439
318,Jaunākais Testēšanas Speciālists,1400
319,Pārdevējs (-a) DUS Tukums,480
320,Loģistikas speciālists/-e,1800
321,Programmētājs/-a,2500
322,MEDIJU REKLĀMAS PLĀNOTĀJA/S,2150
323,Pārdevējs (-a) DUS Gaisma,480
324,Support Specialist,2050
325,.NET un REACT programmētājs/-a,2500
326,Risku analītiķis/-e,2500
327,Grāmatvedis/-e,1200
328,Projektu vadītājs/-a,1300
329,Namu pārvaldnieks,1850
330,Pārdošanas menedžeris / Tirdzniecības speciālists,1830
331,Finanšu riska auditors/-e,3300
332,Apdrošināšanas brokera palīgs/-dze,1200
333,Technical specialist,1325
334,Bārmenis-viesmīlis,1300
335,Vagonu apkopes operators/-e,1300
336,Mārketinga projektu vadītājs/-a,1800
337,Personāla atlases projektu vadītājs/-a,1900
338,Bilancspējīgs grāmatvedis/-e,2000
339,Grāmatvedis/-e,1600
340,Izpilddokumentācijas sagatavošanas speciālists/-e,1500
341,Projekta ieviešanas un vadības departamenta plānošanas inženieris/-e,3000
342,Senior Compliance Officer (Compliance Governance),3550
343,Klientu Atbalsta Speciālists,1510
344,Transportlīdzekļu vadītāju eksaminācijas inspektors (Daugavpilī),320
345,French speaking B2B Customer Experience Specialist (temporary position),1425
346,Automation Engineer,2900
347,Front-End Developer (Senior OR Lead),4000
348,Elektrisko sistēmu projektu vadītājs/-a,2900
349,Mehānisko (AVK) sistēmu projektu vadītājs/-a,2900
350,Vispārceltniecisko darbu projektu vadītājs/-a,2900
351,PHP Developer (TYPO3),3750
352,Sakaru Operators/-e,1625
353,Mārketinga aktivizācijas projektu vadītājs/-a,1650
354,German Speaking Game Presenter,400
355,Spēļu prezentētājs,320
356,Game presenter,320
357,Lauksaimniecības tehnikas mehāniķis Gulbenē,1850
358,Grāmatvedis/-e,1300
359,Junior Accountant,1300
360,Salesforce Marketing Cloud Consultant,3550
361,Sistēmu analītiķis/-e,2200
362,Internal IT Systems Specialist,1800
363,Dzīvības apdrošināšanas pārdošanas speciālists Zvanu centrā,1600
364,System Analyst,2842
365,Uzņēmumu reģistra un maksātnespējas politikas nodaļas POLITIKAS PLĀNOŠANAS EKSPERTS,1800
366,Uzlīmju līmētājs/-a,1081
367,C kategorijas autovadītjs/-a Rīgā,1955
368,Iepirkumu speciālists,2000
369,Reģionālais tirdzniecības vadītājs/-a,2000
370,Klientu apkalpošanas speciālists/-e (zvanu operators/-e),1200
371,Īpašo klientu tirdzniecības speciālists,2259
372,Customer Service Representative with Russian (m/f/d),1380
373,Pārdevējs (-a) DUS Jelgava,560
374,Technical Integration Manager,2400
375,Datortīklu administrators,2750
376,Iepirkumu speciālists (iepircējs),1750
377,Veikala vadītājs/-a TC Damme,1300
378,Galvenais apdrošināšanas speciālists Rietumu reģionālajā filiālē,1680
379,Pārdošanas projektu vadītājs/-a apdares materiālu segmentam,3500
380,Biznesa datu analītiķis/-e,2500
381,Tirdzniecības asistents/-e,2150
382,Personāla vadītāja Baltijā,2800
383,Call-off planner,2050
384,Tulkošanas projektu vadītājs,1300
385,Technical Writer,3480
386,"Senior C++ Developer, Accounting Systems",4220
387,"Senior Angular Developer, Investment Management Solution",3800
388,Scala Team Lead,5500
389,Client Services Assistant,1350
390,"Salesforce Administrator, Travel Tech Company",4585
391,"Program Manager, Cruise Company",4000
392,Test (Automation) Engineer,3000
393,Controls Specialist,2950
394,Application Support Generalist,2850
395,"CRM Developer, Banking System",4000
396,"Būvdarbu vadītāja palīgs/-dze (Madonā, Līvānos, Daugavpilī)",1650
397,Klientu konsultants/-e,1125
398,"Trade Reporting Specialist for a data-driven culture | SEB, Riga",1800
399,Būvdarbu vadītājs/-a,2200
400,Sertificēts ēku būvdarbu vadītājs/-a,2800
401,Risk Analyst,2400
402,Pārdošanas projektu vadītājs/-a ēku karkasa risinājumiem,3250
403,Construction Manager ELECTROMECHANICAL PROJECTS,3500
404,IT sistēmu apkalpošanas speciālists/-e,1650
405,Tāmētājs/-a,2300
406,Java Developer in Savings & Investment Tribe,3250
407,Zāģētavas vadītājs,4500
408,Tirdzniecības veicinātājs/-a,1500
409,Mārketinga vadītājs/-a,2300
410,Kredītu piedziņas speciālists/e,1320
411,Multimediju satura daļas vadītājs/-a,2850
412,LEAN nepārtraukto uzlabojumu speciālists ražošanā,1750
413,Cook/повар/pavārs,3500
414,Klientu apkalpošanas speciālists/-e/ pārdevējs/-a,1300
415,Administratīvais asistents/e uz noteiktu laiku – 6 mēnešiem,1400
416,IT Product Owner,4250
417,IT Product Manager,3550
418,IT Business/System Analyst,3550
419,Inženierkomunikāciju (MEP) nodaļas vadītājs,3050
420,Senior Risk Analyst,2900
421,Tehnikas iepircējs,2450
422,DevOps Engineer,3600
423,Preču grupas vadītājs/-a,1600
424,Paliatīvās aprūpes dienesta vadītājs,2340
425,Klientu noturēšanas speciālista asistents/ Customer Retention Specialist assistant,1635
426,Data Engineer (software developer) for Business Intelligence team in Finance & Risk tribe,3600
427,Tirdzniecības pārstāvis,2000
428,Klientu atbalsta asistents/-e,1675
429,"Senior Data & AI Engineer (Python, PowerBI)",4300
430,Mechanical designer-drafter,1900
431,Office Manager - Engineering,2500
432,IT Talent Acquisition Specialist,2350
433,"Norwegian Speaking IT Customer Support Specialist, Tietoevry Tech Services",1600
434,Frontend Engineer (JavaScript/TypeScript),5800
435,Data Scientist,4575
436,SAULES PANEĻU KONSTRUKCIJU MONTIERIS/-E,1500
437,Digitālās drukas iekārtas operators/e (apmācība nodrošināta),1250
438,"Bank Services Specialist with interest in Private Banking | SEB, Riga",1850
439,"KYC Regulatory Specialist for a value-driven culture | SEB, Riga",1900
440,"Ikdienas pakalpojumu konsultants/-e  | SEB, Rīga",1300
441,Java Developer in Mobile Team,3600
442,IT Risk Manager,3400
443,"Product Owner to Customer Data Team in Customer Overview and Digital Enablers Tribe | SEB, Riga",4200
444,"Scrum Master/Delivery Team Lead for Customer Data Team in CODE Tribe | SEB, Riga",4800
445,"Tech Lead with passion for digital transformation | SEB, Riga",4550
446,Elektronikas inženieris/-e darbam Inovatīvu produktu izstrādes nodaļā,1600
447,IT sistēmu projektu vadītājs/-a,2150
448,Klientu Konsultants(-e) Jēkabpils Filiālē,1450
449,Tehniskais strādnieks/-ce,360
450,Finanšu kontrolieris/-e,2500
451,Telekomunikāciju tehniķis/-e,2500
452,Vecākais iepirkumu speciālists Centralizēto iepirkumu vadības departamentā,1875
453,Klientu Konsultants(-e) Jēkabpils Filiālē,1450
454,Senior Java Developer,3637
455,DevOps Specialist,3562
456,Senior Full Stack Developer,3637
457,Iepirkumu speciālists,1450
458,PROJEKTA VADĪTĀJS/-A darbam Projektu uzraudzības un atbalsta nodaļā,2560
459,Middle ML Engineer (Recommender Systems Specialist) (ML100),4250
460,PROJEKTA VADĪTĀJA/-S darbam Projektu sagatavošanas nodaļā,2560
461,Tirdzniecības pārstāvis/-e Liepājā,1800
462,Middle AI Engineer (Deep Learning) (AI100),4750
463,Live-in Carer (low living costs),2458
464,Ražošanas operators,1750
465,Data Steward,3050
466,Product Business Analyst (Game development),3400
467,Transportation Specialist,1700
468,Junior Tier 2 Incident Management Engineer,440
469,Accountant,1650
470,"Rīgas pilsētas tiesas  (Daugavgrīvas iela 58, Rīga)  tiesas sēžu sekretārs  (uz noteiktu laiku)",1118
471,Mārketinga vadītājs/ -a,1800
472,Personāla vadības partneris/-e (Galvenais personāla speciālists/-e),2600
473,VIESNĪCAS ADMINISTRATORU/-I,240
474,Integration Focused Developer,4250
475,Country manager - Latvia,7000
476,Vecākais/-ā ķīmiķis/-e,1300
477,Customer Support Representative,1200
478,Projektu asistents/-e  ar vācu valodas zināšanām darbam Vācijā,1950
479,Tehniskās nodaļas asistents/-e,1250
480,HoReCa Manager,4500
481,Intern in Energy Trading Department,720
482,Accountant with Swedish language skills,1600
483,Middle Ruby / RoR developer,4250
484,Senior Software engineer (Ruby on Rails),6500
485,Spēļu prezentētājs,1950
486,Senior Consultant in Strategy & Transaction,2400
487,Service Line Administrator (temporary position),1500
488,"Būvkonstrukciju modelētājs/-a, rasētājs/-a",1600
489,Biroja vadītāja - Personīgā asistente,1800
490,Invoicing Officer,1300
491,IT Business Analyst,2350
492,Farmaceits/-e (produktu izstrādes un pētījumu projektu grupā),1850
493,Experimentation Program Manager,2500
494,Mehānikas inženieris/-e – projektētājs/-a,2100
495,Mārketinga projektu vadītājs/-a,2000
496,Projektētājs/-a,1800
497,Business Developer (Business Analyst) in Mobile Team,2500
498,iOS Developer in Mobile Team,3600
499,"Payment Services Specialist for a friendly and dynamic culture | SEB, Riga",1575
500,Scrum Master in Regulatory Reporting Area,4800
501,"Bank Specialist with a focus on Accounts & Settlements| SEB, Riga",1575
502,Quality Assurance Specialist in Mobile Team,2800
503,Digitālās drukas iekārtas operators/e (apmācība nodrošināta),1250
504,Strategy and Transactions Consultant,970
505,Android Developer in Mobile Team,3600
506,"Kickstarter in Finance with no experience needed | SEB, Riga",1400
507,"Payment Process Expert with automation experience| SEB, Riga",1900
508,Personāla attīstības speciālists,1700
509,Auto virsbūves remonta tāmētājs (-a),1536
510,Advisor in Collateral and Loan Establishment department for private clients,1650
511,Auto virsbūves remontatslēdznieks (-ce),1700
512,QA Engineer,2350
513,Graphic Designer (Trevolution),2000
514,Email/Mobile Marketing Specialist or Senior Specialist,2000
515,Farmaceits/e un Farmaceita asistents/e Āgenskalnā,1300
516,Advisor in Collateral department for corporate clients,1700
517,Celtniecības un iekraušanas tehnikas MEHĀNIĶIS/-E,2500
518,Pārdevējs- konsultants CROPP T/C  ALFA,990
519,Ārstniecības iestādes klientu un pacientu reģistrators,840
520,Digitālā mārketinga speciālists,1700
521,Pārdošanas menedžeris-/e,2000
522,IT Administrator / IT speciālists,2200
523,Bilancspējīgs grāmatvedis/-e,2100
524,Team Manager ( Night Shift ),720
525,General Manager SSC,10000
526,Preču aprites uzraudzības strādnieks noliktavā,1082
527,Maršrutu sagatavošanas darbinieks/-ce (NAKTS MAIŅĀS),1607
528,Pasūtījumu komplektētājs/-a (nakts maiņās),1573
529,Bilancspējīgs grāmatvedis/-e,2500
530,Kategoriju vadītāju asistents/-e,1700
531,Ražošanas direktora asistents/-e,2200
532,Tirdzniecības veicinātājs/-a Rīgā,1175
533,Finance Testing Services Specialist,2500
534,Procesu inženieris/-e,2300
535,Prakse Mārketinga nodaļā,850
536,Finansists/-e,1292
537,Vecākais/-ā sistēmanalītiķis/-e ar Java izstrādātāja iemaņām,3000
538,Maiņas vadītājs/-a,200
539,Tirdzniecības pārstāvis/-e,1950
540,Montētājs/-a  / ražošanas palīgstrādnieks/-ce,1350
541,Grāmatvedis/-e,1550
542,Ražošanas nodaļas vadītājs/plānotājs,1950
543,Kvalitātes nodrošināšanas (QA) testētājs/-a,1375
544,INTERNATIONAL BUSINESS DEVELOPMENT MANAGER (F/M/D) | IGNITIS RENEWABLES,4025
545,HEALTH AND SAFETY SPECIALIST (F/M/D/) I IGNITIS RENEWABLES,3169
546,Pārdošanas pārstāvis/-e,2300
547,Grāmatvedis/-e,1750
548,Pārdevēji/as konsultanti/es - t/c Rīga Plaza,200
549,Norwegian speaking specialist in Account team,1650
550,ESS/ EST Projektētājs/ -a,1700
551,HR Coordinator,1775
552,Team Manager (m/f/d),1600
553,"Apkures, ventilācijas un gaisa dzesēšanas sistēmu inženieris/-e",2400
554,Galvenais speciālists (pirmās palīdzības apmācības izglītības jautājumos - eksperts),1600
555,Montāžas speciālists ar vācu valodas zināšanām,840
556,Senior Facebook (Meta) Marketer,2750
557,Pārdošanas speciālists,2150
558,Azure Cloud Architect,3939
559,Head of sales/ Sales director,4500
560,Grāmatvedis,2000
561,German Speaking Service Desk Specialist,1700
562,Finanšu analītiķi,2200
563,Reģionālais vadītājs/-a,2500
564,HEAD OF COMMUNITIES (F/M/D) | IGNITIS RENEWABLES,3294
565,Finance Manager,1885
566,Pārdevējs-konsultants RESERVED T/C ALFA,990
567,Nodokļu nomaksas veicināšanas pārvaldes Pievienotās vērtības nodokļa daļas nodokļu inspektors,1485
568,Nodokļu nomaksas veicināšanas pārvaldes Pievienotās vērtības nodokļa daļas nodokļu inspektors,1485
569,Nodokļu nomaksas veicināšanas pārvaldes Pievienotās vērtības nodokļa daļas nodokļu inspektors,1485
570,Legal Counsel (Partnerships),2700
571,Nodokļu nomaksas veicināšanas pārvaldes Pievienotās vērtības nodokļa daļas nodokļu inspektors,1485
572,Muitas pārvaldes Riska vadības daļas Riska informācijas apstrādes nodaļas vecākais muitas eksperts,1409
573,Nodokļu un muitas policijas pārvaldes Informācijas sistēmu administrators,2173
574,Transportlīdzekļu vadītāju kvalifikācijas inspektors,240
575,German speaking Customer Service Specialist - AirBnB Team,1450
576,Transportlīdzekļu reģistrators (Rīgā),320
577,Nodokļu un muitas policijas pārvaldes Administratīvās vadības daļas vecākais lietvedis,1023
578,Vecākais eksperts (JD IPVNĪPPN),1941
579,Zvanu centra klientu apkalpošanas speciālists/e,1125
580,Bank Operations Account Specialist,1650
581,Informātikas pārvaldes Informācijas tehnoloģiju projektu kvalitātes pārvaldnieks,2122
