"Kods","Nosaukums","Apraksts","Vecāks"
"0110 07","KAPTEINIS/ KAPTEIŅLEITNANTS (Jūras spēkos)","","0110"
"0110 08","VIRSLEITNANTS","","0110"
"0110 09","LEITNANTS","","0110"
"02","Instruktori","Nulles pamatgrupas apakšgrupas ""02 Instruktori"" profesijas klasificētas šādās grupās:mazā grupa ""021 Instruktori"";atsevišķā grupa ""0210 Instruktori"".  ","00"
"021","Instruktori"," PROFESIJU MAZĀ GRUPA""021 Instruktori""un PROFESIJU ATSEVIŠĶĀ GRUPA""0210 Instruktori""Mazās grupas ""021 Instruktori"" un atsevišķās grupas ""0210 Instruktori"" profesijās nodarbinātie nodrošina vienību (apakšvienību) ikdienas un kaujas uzdevumu izpildi, vada pakļautos karavīrus vai zemessargus, veic to teorētisko sagatavošanu un praktisko apmācību atbilstoši noteiktajiem standartiem un uzdevumiem vai veic uzdevumus, kas saistīti ar aktīvo dienestu vai dienestu Zemessardzē. Šiem karavīriem un zemessargiem piešķirta dienesta pakāpe no kaprāļa līdz augstākajam virsseržantam.Mazās grupas ""021 Instruktori"" un atsevišķās grupas ""0210 Instruktori"" profesijām atbilstošās kvalifikācijas pamatprasības:zina: militāro dienestu un dienestu Zemessardzē reglamentējošo dokumentu prasības, vienības (apakšvienības) ikdienas un kaujas uzdevumus, pakļautā personālsastāva personas un uzskaites datus, sadzīves un dienesta apstākļus, vienības (apakšvienības) un personālsastāva materiāltehnisko nodrošinājumu, darba un vides aizsardzības normatīvo aktu prasības, profesionālās ētikas pamatprincipus un uzvedības normas;prot: motivēt personālsastāvu ikdienas un kaujas uzdevumu izpildei, sastādīt vienības (apakšvienības), karavīru un zemessargu individuālos apmācību plānus un norīkojumu sarakstus, vadīt pakļautā personālsastāva apmācību un organizēt materiāltehnisko līdzekļu uzglabāšanu un uzskaiti atbilstoši normatīvo dokumentu prasībām;atbild: par pakļautā personālsastāva ikdienas un kaujas uzdevumu izpildi, pakļautā personālsastāva militāro apmācību, audzināšanu, militāro disciplīnu, morālo stāvokli, stāju, kārtīgu izskatu, par ieroču, kaujas tehnikas un pārējās tehnikas, uzkabes, formastērpa izmantošanu un saglabāšanu, par to uzturēšanu lietošanas kārtībā;izglītība: normatīvajā aktā attiecīgajai instruktora dienesta pakāpei noteiktā atbilstošā militārā izglītība.Atsevišķās grupas ""0210 Instruktori"" profesijas un atbilstoši pamatuzdevumi:– vadīt pakļautā personālsastāva apmācību, ikdienas un kaujas uzdevumu izpildi; plānot darba sadalījumu vienībā (apakšvienībā); motivēt un audzināt personālsastāvu; kontrolēt pakļautā personālsastāva dienesta pienākumu izpildes kvalitāti un atbilstību normatīvo dokumentu prasībām; nodrošināt militārās disciplīnas ievērošanu, materiāltehnisko līdzekļu uzturēšanu lietošanas kārtībā, to pareizu glabāšanu, uzskaiti un ekspluatācijas noteikumu ievērošanu; uzraudzīt iekšējās kārtības noteikumu ievērošanu vienībā (apakšvienībā).  ","02"
"0210","Instruktori","Šīs atsevišķās grupas apraksts un profesionālās darbības pamatuzdevumi atbilst 021 mazajai grupai.","021"
"0210 01","Augstākais VIRSSERŽANTS/ Augstākais BOCMANIS (Jūras spēkos)","","0210"
"0210 02","Galvenais VIRSSERŽANTS/ Galvenais BOCMANIS (Jūras spēkos)","","0210"
"0210 03","Štāba VIRSSERŽANTS/ Štāba BOCMANIS (Jūras spēkos)","","0210"
"0210 04","VIRSSERŽANTS/ BOCMANIS (Jūras spēkos)","","0210"
"0210 05","SERŽANTS","","0210"
"0210 06","KAPRĀLIS","","0210"
"03","Kareivji un zemessargi"," Nulles pamatgrupas apakšgrupas ""03 Kareivji un zemessargi"" profesijas klasificētas šādās grupās:mazā grupa ""031 Kareivji un zemessargi"";atsevišķā grupa ""0310 Kareivji un zemessargi"".","00"
"031","Kareivji un zemessargi"," PROFESIJU MAZĀ GRUPA""031 Kareivji un zemessargi""un PROFESIJU ATSEVIŠĶĀ GRUPA""0310 Kareivji un zemessargi""Mazās grupas ""031 Kareivji un zemessargi"" un atsevišķās grupas ""0310 Kareivji un zemessargi"" profesijās nodarbinātie veic ikdienas un kaujas uzdevumus vai veic uzdevumus, kas saistīti ar aktīvo dienestu. Šiem karavīriem piešķirta kareivja (Jūras spēkos – matroža) vai dižkareivja (dižmatroža) dienesta pakāpe, zemessargiem piešķirta zemessarga vai vecākā zemessarga dienesta pakāpe.Mazās grupas ""031 Kareivji un zemessargi"" un atsevišķās grupas ""0310 Kareivji un zemessargi"" profesijām atbilstošās kvalifikācijas pamatprasības:zina: militāro dienestu un dienestu Zemessardzē reglamentējošo dokumentu prasības, savus pienākumus un uzdevumus ikdienas un kaujas apstākļos, darba un vides aizsardzības normatīvo aktu prasības, profesionālās ētikas pamatprincipus un uzvedības normas;prot: nekavējoties un precīzi reaģēt ikdienas un kaujas apstākļos, uzturēt sev uzticēto apbruņojumu un tehniku kaujas gatavībā;atbild: par savu pienākumu un doto uzdevumu izpildi, par uzticētā apbruņojuma un tehnikas kaujas gatavību;izglītība: normatīvajā aktā attiecīgajai kareivja dienesta pakāpei vai normatīvajā aktā zemessarga dienesta pakāpei noteiktā atbilstošā militārā izglītība.Atsevišķās grupas ""0310 Kareivji un zemessargi"" profesijas un atbilstoši pamatuzdevumi:– godprātīgi pildīt karavīra vai zemessarga vispārīgos pienākumus; mācīties un uzturēt nepieciešamo zināšanu un prasmju līmeni; priekšzīmīgi pildīt dienesta pienākumus; zināt un pildīt militāro reglamentu prasības; ievērot militārās pieklājības noteikumus; uzturēt kārtībā un kaujas gatavībā uzticēto šaujamieroci, kaujas tehniku un pārējo tehniku.  ","03"
"0310","Kareivji un zemessargi","Šīs atsevišķās grupas apraksts un profesionālās darbības pamatuzdevumi atbilst 031 mazajai grupai.","031"
"0310 01","DIŽKAREIVIS/ DIŽMATROZIS (Jūras spēkos)","","0310"
"0310 02","Vecākais ZEMESSARGS","","0310"
"0310 03","KAREIVIS/ MATROZIS (Jūras spēkos)","","0310"
"0310 04","ZEMESSARGS","","0310"
"1","Vadītāji","PROFESIJU PIRMĀ PAMATGRUPA""1 Vadītāji""Pirmās pamatgrupas ""1 Vadītāji"" profesijās nodarbinātie nosaka, formulē valsts politiku, izstrādā tiesību aktus, pārstāv valsti un rīkojas tās vārdā, uzrauga, kā tiek ievērota valsts politika un normatīvie akti, nosaka uzņēmuma politiku, darbības kārtību un regulējumu, plāno, vada un koordinē uzņēmuma vai tā struktūrvienību darbību un pasākumus.Pirmās pamatgrupas ""1 Vadītāji"" profesijas klasificētas šādās grupās:apakšgrupa ""11 Likumdevēji, amatpersonas un vadītāji"";mazā grupa ""111 Likumdevēji, amatpersonas un vadītāji"";mazā grupa ""112 Rīkotājdirektori un uzņēmumu vadītāji"";apakšgrupa ""12 Administratīvie vadītāji un komercdirektori"";mazā grupa ""121 Komercpakalpojumu un administratīvie vadītāji"";mazā grupa ""122 Tirdzniecības, tirgvedības un attīstības jomas vadītāji"";apakšgrupa ""13 Ražošanas un specializēto pakalpojumu jomas vadītāji"";mazā grupa ""131 Lauksaimniecības, mežsaimniecības un zivsaimniecības ražošanas vadītāji"";mazā grupa ""132 Apstrādes un ieguves rūpniecības, būvniecības un loģistikas jomas vadītāji"";mazā grupa ""133 Informācijas un komunikācijas tehnoloģiju jomas vadītāji"";mazā grupa ""134 Specializēto pakalpojumu jomas vadītāji"";apakšgrupa ""14 Viesmīlības, ēdināšanas, tirdzniecības un citu pakalpojumu jomas vadītāji"";mazā grupa ""141 Viesmīlības un ēdināšanas pakalpojumu jomas vadītāji"";mazā grupa ""142 Mazumtirdzniecības un vairumtirdzniecības jomas vadītāji"";mazā grupa ""143 Citu pakalpojumu jomas vadītāji"".",""
"11","Likumdevēji, amatpersonas un vadītāji","Pirmās pamatgrupas apakšgrupas ""11 Likumdevēji, amatpersonas un vadītāji"" profesijas klasificētas šādās mazajās grupās:mazā grupa ""111 Likumdevēji, amatpersonas un vadītāji"";mazā grupa ""112 Rīkotājdirektori un uzņēmumu vadītāji"".","1"
"111","Likumdevēji, amatpersonas un vadītāji"," PROFESIJU MAZĀ GRUPA""111 Likumdevēji, amatpersonas un vadītāji""Mazās grupas ""111 Likumdevēji, amatpersonas un vadītāji"" likumdevēji nosaka un formulē valsts politiku, izstrādā, pieņem un groza likumus; valsts augstākās amatpersonas un vadītāji konsultē Saeimu, valdību, pārrauga, kā tiek īstenota valsts politika un ievēroti normatīvie akti, pārstāv valsti ārzemēs un starpvalstu organizācijās; pašvaldību deputāti nosaka pašvaldību politiku, pieņem lēmumus un saistošos noteikumus; pašvaldību vadītāji veic dažādus uzdevumus, kas izriet no funkciju sadales valsts pārvaldē; politisko partiju, arodbiedrību, komercsabiedrību, rūpniecības un tirdzniecības asociāciju, humanitāro, žēlsirdības un sporta biedrību un nodibinājumu vadītāji pārstāv šīs biedrības un nodibinājumus un darbojas to vārdā.Mazās grupas ""111 Likumdevēji, amatpersonas un vadītāji"" profesijas klasificētas šādās atsevišķajās grupās:atsevišķā grupa ""1111 Likumdevēji"";atsevišķā grupa ""1112 Valsts augstākās amatpersonas"";atsevišķā grupa ""1114 Biedrību, nodibinājumu, arodbiedrību un politisko partiju amatpersonas"".  ","11"
"1111","Likumdevēji"," PROFESIJU ATSEVIŠĶĀ GRUPA""1111 Likumdevēji""Atsevišķās grupas ""1111 Likumdevēji"" profesijās nodarbinātie nosaka, formulē valsts politiku, izstrādā, pieņem un groza likumus un citus normatīvos aktus, nosaka republikas pilsētas pašvaldības un novada pašvaldības politiku, pieņem lēmumus un saistošos noteikumus.Atsevišķās grupas ""1111 Likumdevēji"" profesijas un atbilstoši pamatuzdevumi:– noteikt, formulēt valsts, pašvaldību politiku, organizēt un vadīt padotā personāla darbu; izstrādāt, pieņemt un grozīt likumus un citus normatīvos aktus saskaņā ar Satversmi un pastāvošo jurisdikciju; strādāt Saeimas un valdības sēdēs vai Saeimas komisijās; aizstāvēt to vēlētāju intereses, kurus viņi pārstāv; dot norādījumus par valsts politikas īstenošanu; nodrošināt konsultatīvo un administratīvo atbalstu Saeimas Prezidija loceklim; vadīt Saeimas Prezidija locekļa biroja darbu; sniegt padomus un konsultācijas Saeimas Prezidija loceklim jautājumos, kuros nepieciešama dziļa noteiktas nozares vai vairāku apakšnozaru darbības pārzināšana; noteikt pašvaldību politiku; piedalīties domes sēdēs un deputātu komitejās; izskatīt jebkuru attiecīgās pašvaldības kompetencē esošu jautājumu; pieņemt lēmumus un saistošos noteikumus, kas ir spēkā konkrētā novadā vai pilsētā.","111"
"1111 01","Valsts PREZIDENTS","","1111"
"1111 02","Saeimas PRIEKŠSĒDĒTĀJS","","1111"
"1111 03","Saeimas PRIEKŠSĒDĒTĀJA BIEDRS","","1111"
"1111 04","Saeimas SEKRETĀRS","","1111"
"1111 05","Saeimas SEKRETĀRA BIEDRS","","1111"
"1111 06","Saeimas komisijas PRIEKŠSĒDĒTĀJS","","1111"
"1111 07","Saeimas komisijas PRIEKŠSĒDĒTĀJA BIEDRS","","1111"
"1111 08","Saeimas komisijas SEKRETĀRS","","1111"
"1111 09","Saeimas frakcijas PRIEKŠSĒDĒTĀJS","","1111"
"1111 10","Saeimas DEPUTĀTS","","1111"
"1111 13","Parlamentārais SEKRETĀRS","","1111"
"1111 17","Ministru PREZIDENTS","","1111"
"1111 18","Ministru PREZIDENTA BIEDRS","","1111"
"1111 19","MINISTRS","","1111"
"1111 20","Īpašu uzdevumu MINISTRS","","1111"
"1111 23","Pašvaldības domes PRIEKŠSĒDĒTĀJS","","1111"
"1111 24","Pašvaldības domes PRIEKŠSĒDĒTĀJA VIETNIEKS","","1111"
"1111 27","Saeimas Prezidija locekļa biroja VADĪTĀJS","","1111"
"1111 28","Saeimas Prezidija locekļa PADOMNIEKS","","1111"
"1111 29","Pašvaldības domes DEPUTĀTS","","1111"
"1111 30","Ministra BIEDRS","","1111"
"1112","Valsts augstākās amatpersonas","PROFESIJU ATSEVIŠĶĀ GRUPA""1112 Valsts augstākās amatpersonas""Atsevišķās grupas ""1112 Valsts augstākās amatpersonas"" profesijās nodarbinātie konsultē Saeimu, valdību, pārrauga, kā tiek īstenota valsts politika un ievēroti normatīvie akti, pārstāv valsti ārzemēs un starpvalstu organizācijās, plāno, vada un koordinē iestādes darbību paredzēto mērķu sasniegšanai un noteikto funkciju izpildei, īsteno valsts ārpolitiku, veic dažādus jurisdikcijas, administratīvos un ceremoniālos pienākumus, kas izriet no tradīcijām, viņiem paredzētajām tiesībām un funkciju sadales valsts pārvaldē.Atsevišķās grupas ""1112 Valsts augstākās amatpersonas"" profesijas un atbilstoši pamatuzdevumi:– nodrošināt Saeimas Administrācijas darba vadību, plānošanu, stratēģijas izstrādi un īstenošanu; organizēt un vadīt padotā personāla darbu valsts un pašvaldības institūcijā; koordinēt darbu starp Saeimas Administrāciju un citām Saeimas struktūrvienībām, kā arī nodrošināt Saeimas budžeta veidošanu un tā izpildi; konsultēt Saeimu, valdību un pašvaldību iestādes, sniegt konsultācijas valsts budžeta sastādīšanā un izpildes nodrošināšanā, normatīvo aktu un to grozījumu sagatavošanā; pārraudzīt, kā valsts iestādēs un institūcijās tiek īstenota valsts politika un ievēroti normatīvie akti, uzraudzīt un kontrolēt valsts varas un pārvaldes institūciju izdoto normatīvo aktu izpildi pakļautībā esošajās iestādēs; pārstāvēt valsti ārzemēs; pārstāvēt valsti starptautiskajās cilvēktiesību institūcijās un starpvalstu organizācijās; informēt par Ministru kabineta darbu, Ministru kabineta komitejas sēdēs un Ministru kabineta sēdēs izskatītajiem jautājumiem; vadīt Ministru kabineta, Ministru prezidenta un Valsts kancelejas organizētās preses konferences; organizēt žurnālistu tikšanās ar Ministru kabineta un Valsts kancelejas amatpersonām; nodrošināt Latvijas valsts, tās pilsoņu un juridisko personu interešu aizsardzību ārvalstīs; koordinēt Latvijas Republikas valsts institūciju starptautiskos sakarus; veikt konsulārās funkcijas saskaņā ar Konsulāro reglamentu; koordinēt Latvijas Republikas valsts institūciju saskaņotu darbību diplomātiskā protokola jautājumos un nodrošināt diplomātiskā protokola ievērošanu; nodrošināt Latvijas Republikas valsts institūcijas un sabiedrību ar informāciju, kas iegūta ārvalstīs jebkurā legālā veidā; plānot, vadīt un koordinēt politikas un stratēģijas izstrādāšanu un politisko lēmumu īstenošanu, darba plānu izstrādāšanu un izpildi valsts pārvaldes jomā saskaņā ar augstākās iestādes vai amatpersonas noteikto politiku un stratēģiju; plānot un sadalīt finanšu resursus; veidot valsts robežas apsardzības un kontroles politiku un attīstības stratēģiju; organizēt ugunsdrošības, glābšanas un civilās aizsardzības uzdevumu izpildi; organizēt brīvības atņemšanas kā kriminālsoda un apcietinājuma kā drošības līdzekļa izpildi; nodrošināt pamatfunkciju un atbalsta funkciju īstenošanu brīvības atņemšanas soda mērķa sasniegšanai; izdot administratīvos aktus vai ar indivīda tiesībām saistītus lēmumus; plānot, vadīt un koordinēt darbību pašvaldībās; iznomāt pašvaldību rīcībā esošo zemi un citus resursus; sadalīt peļņu, kas gūta no pašvaldību īpašuma; izšķirt domstarpības starp iedzīvotājiem, nodrošināt sabiedriskās kārtības un normatīvo aktu ievērošanu; izpildīt formalitātes un ceremoniālos pienākumus iedzīvotāju dzimšanas, laulību, nāves un citos gadījumos; pārstāvēt savas pašvaldības iedzīvotājus augstākās iestādēs, informēt viņus par valstī pieņemtajiem normatīvajiem aktiem un norādījumiem.","111"
"1112 01","Starpvalstu institūcijas VADĪTĀJS","","1112"
"1112 02","Starpvalstu institūcijas struktūrvienības VADĪTĀJS","","1112"
"1112 03","ĢENERĀLPROKURORS","","1112"
"1112 04","Valsts KONTROLIERIS","","1112"
"1112 05","Augstākās tiesas PRIEKŠSĒDĒTĀJS","","1112"
"1112 06","Satversmes tiesas PRIEKŠSĒDĒTĀJS","","1112"
"1112 07","Valsts PREZIDENTA PADOMNIEKS","","1112"
"1112 08","Valsts PREZIDENTA PALĪGS","","1112"
"1112 09","Ministru PREZIDENTA biroja VADĪTĀJS","","1112"
"1112 10","Ministru PREZIDENTA BIEDRA sekretariāta VADĪTĀJS","","1112"
"1112 11","Ministru PREZIDENTA PADOMNIEKS","","1112"
"1112 12","Ministru PREZIDENTA PALĪGS","","1112"
"1112 13","Ministru PREZIDENTA BIEDRA PADOMNIEKS","","1112"
"1112 14","Ministru PREZIDENTA BIEDRA PALĪGS","","1112"
"1112 15","MINISTRA PADOMNIEKS","","1112"
"1112 16","Īpašu uzdevumu MINISTRA sekretariāta VADĪTĀJS","","1112"
"1112 17","Īpašu uzdevumu MINISTRA sekretariāta VADĪTĀJA VIETNIEKS","","1112"
"1112 18","Latvijas PĀRSTĀVIS starptautiskajās cilvēktiesību institūcijās","","1112"
"1112 19","Ministra biroja VADĪTĀJS","","1112"
"1112 20","Aizsardzības PADOMNIEKS starptautiskajās organizācijās","","1112"
"1112 21","PĀRSTĀVIS starptautiskajā organizācijā","","1112"
"1112 22","Aizsardzības PADOMNIEKS","","1112"
"1112 23","Valsts SEKRETĀRS","","1112"
"1112 24","Valsts SEKRETĀRA VIETNIEKS","","1112"
"1112 25","Valsts protokola VADĪTĀJS","","1112"
"1112 26","Valsts protokola VADĪTĀJA VIETNIEKS","","1112"
"1112 27","Galvenais valsts NOTĀRS","","1112"
"1112 28","Galvenā valsts NOTĀRA VIETNIEKS","","1112"
"1112 29","Iestādes VADĪTĀJS/ ĢENERĀLDIREKTORS/ DIREKTORS/ PRIEKŠNIEKS/ PRIEKŠSĒDĒTĀJS","","1112"
"1112 30","Iestādes VADĪTĀJA VIETNIEKS/ ĢENERĀLDIREKTORA VIETNIEKS/ DIREKTORA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS/ PRIEKŠSĒDĒTĀJA VIETNIEKS","","1112"
"1112 31","Pārvaldes VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS","","1112"
"1112 32","Pārvaldes VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS","","1112"
"1112 35","Valsts robežas PILNVAROTAIS","","1112"
"1112 36","Pašvaldības iestādes VADĪTĀJS/ PRIEKŠNIEKS","","1112"
"1112 37","Pašvaldības iestādes VADĪTĀJA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS","","1112"
"1112 38","Pašvaldības IZPILDDIREKTORS","","1112"
"1112 39","Pašvaldības IZPILDDIREKTORA VIETNIEKS","","1112"
"1112 40","Komisijas PRIEKŠSĒDĒTĀJS (valsts pārvaldes jomā un pašvaldībās)","","1112"
"1112 41","Komisijas PRIEKŠSĒDĒTĀJA VIETNIEKS (valsts pārvaldes jomā un pašvaldībās)","","1112"
"1112 42","Komisijas LOCEKLIS (valsts pārvaldes jomā un pašvaldībās)","","1112"
"1112 43","Komisijas SEKRETĀRS (valsts pārvaldes jomā un pašvaldībās)","","1112"
"1112 44","TIESĪBSARGS","","1112"
"1112 45","Padomes LOCEKLIS (valsts pārvaldes jomā un pašvaldībās)","","1112"
"1112 46","Kolēģijas LOCEKLIS (valsts pārvaldes jomā)","","1112"
"1112 47","Ārkārtējais un pilnvarotais VĒSTNIEKS","","1112"
"1112 48","Speciālo uzdevumu VĒSTNIEKS","","1112"
"1112 49","ĢENERĀLINSPEKTORS (ārlietu jomā)","","1112"
"1112 50","VĒSTNIEKS","","1112"
"1112 51","Pilnvarotais LIETVEDIS","","1112"
"1112 52","Pagaidu pilnvarotais LIETVEDIS","","1112"
"1112 53","PADOMNIEKS (ārlietu jomā)","","1112"
"1112 54","ĢENERĀLKONSULS","","1112"
"1112 56","Reģiona attīstības padomes PRIEKŠSĒDĒTĀJS","","1112"
"1112 57","Reģiona attīstības padomes LOCEKLIS","","1112"
"1112 59","Pastāvīgais PĀRSTĀVIS (ārlietu jomā)","","1112"
"1112 60","Konsulāta VADĪTĀJS","","1112"
"1112 61","Saeimas Kancelejas DIREKTORS","","1112"
"1112 62","Saeimas Kancelejas DIREKTORA VIETNIEKS","","1112"
"1112 63","Saeimas Administrācijas ĢENERĀLSEKRETĀRS","","1112"
"1112 64","Saeimas Administrācijas IZPILDDIREKTORS","","1112"
"1114","Biedrību un nodibinājumu amatpersonas","PROFESIJU ATSEVIŠĶĀ GRUPA""1114 Biedrību, nodibinājumu, arodbiedrību un politisko partiju amatpersonas""Atsevišķās grupas ""1114 Biedrību, nodibinājumu, arodbiedrību un politisko partiju amatpersonas"" profesijās nodarbinātie nosaka un formulē biedrību, nodibinājumu, arodbiedrību un politisko partiju politiku, izstrādā statūtus, kas reglamentē biedrības, nodibinājuma, arodbiedrības un politiskās partijas darbību, pārstāv biedrību, nodibinājumu, arodbiedrību un politisko partiju citās institūcijās.Atsevišķās grupas ""1114 Biedrību, nodibinājumu, arodbiedrību un politisko partiju amatpersonas"" profesijas un atbilstoši pamatuzdevumi:– noteikt biedrības, nodibinājuma, arodbiedrības un politiskās partijas politiku, pamatvirzienus, statūtus un noteikumus; organizēt un vadīt padotā personāla darbu biedrībā, nodibinājumā, arodbiedrībā un politiskā partijā; aizstāvēt savas biedrības, nodibinājuma, arodbiedrības un politiskās partijas biedru intereses; veicināt interesi par biedrībām, nodibinājumiem un arodbiedrībām; plānot un organizēt partijas darbu vēlēšanu kampaņā, plānot un organizēt pasākumus biedrību, nodibinājumu, arodbiedrību un partijas biedru izglītošanai un jaunu biedru iesaistīšanai.","111"
"1114 01","Biedrības vai nodibinājuma VADĪTĀJS/ PREZIDENTS/ VICEPREZIDENTS/ ĢENERĀLDIREKTORS/ ĢENERĀLSEKRETĀRS/ PRIEKŠSĒDĒTĀJS/ IZPILDDIREKTORS","","1114"
"1114 02","Biedrības vai nodibinājuma VADĪTĀJA VIETNIEKS/ PREZIDENTA VIETNIEKS/ VICEPREZIDENTA VIETNIEKS/ ĢENERĀLDIREKTORA VIETNIEKS/ ĢENERĀLSEKRETĀRA VIETNIEKS/ PRIEKŠSĒDĒTĀJA VIETNIEKS/ IZPILDDIREKTORA VIETNIEKS","","1114"
"1114 03","Biedrības vai nodibinājuma valdes PRIEKŠSĒDĒTĀJS","","1114"
"1114 04","Biedrības vai nodibinājuma valdes LOCEKLIS","","1114"
"1114 05","Arodbiedrības VADĪTĀJS/ PREZIDENTS/ PRIEKŠSĒDĒTĀJS","","1114"
"1114 06","Arodbiedrības VADĪTĀJA VIETNIEKS/ VICEPREZIDENTS/ PRIEKŠSĒDĒTĀJA VIETNIEKS","","1114"
"1114 07","Arodorganizācijas VADĪTĀJS/ PRIEKŠSĒDĒTĀJS","","1114"
"1114 08","Politiskās partijas VADĪTĀJS/ PREZIDENTS/ PRIEKŠSĒDĒTĀJS/ ĢENERĀLSEKRETĀRS","","1114"
"1114 09","Arodorganizācijas VADĪTĀJA VIETNIEKS/ PRIEKŠSĒDĒTĀJA VIETNIEKS","","1114"
